state  station  Air12   Air01   Elevation
30	3	4.3	-13.2	285
30	4	3.5	-14.4	432
30	5	3.1	-16.1 443
30	6	3.8	-12.8	366
30	7	2.6	-17.7	361
30	8	7.0	-12.2	255
30	9	6.2	-12.4	402
30	10	5.3	-14.2	313
31	1	17.6	6.8	101
31	2	17.2	6.6	94
32	1	12.1	-3.2	270
32	2	12.8	-3.3	315
32	3	12.8	-1.3	387
32	4	12.7	-2.7	172
33	1	7.8	-6.6	1088
33	2	4.9	-9.6	1170
33	3	5.4	-13.2	700
33	4	7.1	-7.3	1116
33	5	6.4	-7.4	1188
33	6	6	-6.7	904
33	7	5.6	-7.7	1264
33	8	7.3	-10.3	803
33	9	6.5	-5.9	972
34	1	9.6	-6.9	566
34	2	10	-7.9	471
34	3	8.5	-7.1	849
34	4	10.5	-6.7	404
34	5	8.8	-5	1206
35	1	8.2	-4	1547
35	2	6.8	-4.9	1906
35	3	19.1	6.4	664
35	4	10.1	-0.3	1341
35	5	10.5	-1.1	1653
35	6	9.9	-1.4	1323
36	1	7.5	-6.9	105
37	1	11.7	-0.3	20
37	2	12.2	-0.9	9
38	1	13.1	0.5	1619
38	2	14	1.9	1231
39	1	8.4	-6.2	89
39	2	7.5	-6.3	499
39	3	8.5	-5.1	215
39	4	6.3	-9.8	63
39	5	12.1	-0.5	57
39	6	8.8	-4.7	169
39	7	8.6	-5.2	124
40	1	12.2	1.5	661
40	2	16.6	7.2	2
40	3	15.2	4.1	234
40	4	14.1	2.5	270
40	5	14.6	3.7	134
40	6	17.1	7.1	9
41	1	5.2	-13.9	502
41	2	4.9	-15.7	274
41	3	4.6	-14.2	522
42	1	9.7	-4.3	377
42	2	9.7	-4.2	245
42	3	10.7	-3.6	254
42	4	10.9	-3.6	306
42	5	9.9	-4.4	395
42	6	9.1	-5.5	211
42	7	8.9	-5	361
43	1	15.2	1.1	397
43	2	15.2	0.7	206
44	1	10.3	5.2	7
44	2	8.4	-3	1271
44	3	11.5	4.5	109
44	4	11.5	2.5	396
44	5	11.1	6.9	5
44	6	11.4	0.6	456
44	7	11.6	3.9	12
44	8	8.5	-0.8	940
44	9	11	4	61
45	1	10.4	-3.2	117
45	2	6.4	-7.1	600
45	3	8.7	-4.4	225
45	4	11.6	-2	106
45	5	12.2	-0.9	9
45	6	10	-3.5	373
45	7	9.3	-4.2	289
45	8	9.8	-3.8	243
46	1	10	-2.4	19
47	1	15.2	4.1	12
47	2	16.9	6.5	69
47	3	15.2	4.4	296
48	1	7	-11.9	393
48	2	7.9	-6.8	966
48	3	7.4	-11.3	435
49	1	12.8	1	459
49	2	14.7	2.7	210
49	3	14.4	2.5	299
49	4	16.4	3.5	87
49	5	14.8	2.1	180
50	1	17.5	5.1	534
50	2	13.6	0.7	1098
50	3	19.4	8.4	189
50	4	22.6	14.5	6
50	5	21.7	12.3	13
50	6	17.6	6.2	1194
50	7	18.2	5.5	164
50	8	19.8	10.2	33
50	9	15.2	2.7	988
50	10	18.9	8.3	96
50	11	19.8	9.9	7
50	12	18.2	6.4	582
50	13	19.9	9.2	242
50	14	20.9	11.1	32
50	15	19	6.7	155
50	16	16.9	3.2	314
51	1	10.8	-2.5	1288
52	1	6.7	-8.6	104
53	1	14	1.9	279
53	2	15	4.1	9
53	3	13.9	2	50
53	4	13.1	1.3	358
53	5	12.1	-0.7	82
54	1	9.8	3.2	61
54	2	9.3	4.6	55
54	3	10.8	4.1	122
54	4	8.4	-3.4	721
54	5	10.1	-1.8	325
55	1	12.3	-0.3	290
55	2	9.4	-2.5	594
55	3	12.4	-0.3	255
56	1	6.4	-12.6	273
56	2	6.6	-10.3	214
56	3	7.6	-10.5	205
56	4	7.5	-9.3	262
56	5	7.8	-7.8	211
57	1	7.1	-5.6	1612
57	2	7.5	-3.3	1872
57	3	6.6	-7.9	1696
57	4	5.7	-6.6	2056
57	5	7	-7.3	1209
58	1	22.4	22.4	1463
58	2	22.4	22.4	1463
