 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   5  20       141
  I     Z(I)  T2(I)     Density   N^2     AMK
  18   5.25   5.21  999.988  0.000075  1.538969
  19   7.00   5.11  999.989  0.000075  1.538969
  20   9.00   5.06  999.990  0.000075  1.538969
  21  11.25   5.04  999.991  0.000075  1.538969
  22  14.00   5.03  999.991  0.000075  1.538969
  23  17.00   5.03  999.991  0.000075  1.538969
  24  20.00   5.02  999.991  0.000075  1.538969
  25  23.00   5.02  999.991  0.000075  1.538969
  26  26.25   5.03  999.991  0.000075  1.538969
  27  29.00   5.03  999.991  0.000075  1.538969
  28  31.00   5.03  999.991  0.000075  1.538969
  29  33.00   5.03  999.991  0.000075  1.538969
  30  35.00   5.03  999.991  0.000075  1.538969
  31  37.00   5.02  999.991  0.000075  1.538969
  32  39.00   5.02  999.991  0.000075  1.538969
  33  41.00   5.02  999.991  0.000075  1.538969
  34  43.00   5.02  999.991  0.000075  1.538969
  35  45.00   5.02  999.991  0.000075  1.538969
  36  47.00   5.02  999.991  0.000075  1.538969
 I  HMK  
 21   1.539
 22   1.539
 23   1.539
 24   1.539
 25   1.539
 26   1.539
 27   1.539
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   5  21       142
  I     Z(I)  T2(I)     Density   N^2     AMK
  25  23.00   5.59  999.979  0.000075  1.538969
  26  26.25   5.59  999.979  0.000075  1.538969
  27  29.00   5.59  999.979  0.000075  1.538969
  28  31.00   5.59  999.979  0.000075  1.538969
  29  33.00   5.59  999.979  0.000075  1.538969
  30  35.00   5.57  999.980  0.000075  1.538969
  31  37.00   5.50  999.981  0.000075  1.538969
  32  39.00   5.14  999.989  0.000075  1.538969
  33  41.00   5.05  999.990  0.000075  1.538969
  34  43.00   5.02  999.991  0.000075  1.538969
  35  45.00   5.02  999.991  0.000075  1.538969
  36  47.00   5.01  999.991  0.000075  1.538969
 I  HMK  
  2  17.644
  3  17.644
  4  17.644
  5  17.644
  6  17.644
  7  17.644
  8  17.644
  9  17.644
 10  17.644
 11  17.644
 12  17.644
 13  17.644
 14  17.644
 15  17.644
 16  17.644
 17  17.644
 18  17.644
 19  17.644
 20  17.644
 21  17.644
 22  17.644
 23  17.644
 24  17.644
 25   2.831
 26   1.539
 27   1.539
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   6  12       164
  I     Z(I)  T2(I)     Density   N^2     AMK
  22  14.00  10.56  999.676  0.000193  1.026118
  23  17.00  10.34  999.697  0.000168  1.087162
  24  20.00   9.39  999.779  0.000360  0.783571
  25  23.00   7.26  999.917  0.000283  0.869267
  26  26.25   6.26  999.959  0.000087  1.444361
  27  29.00   5.92  999.970  0.000075  1.538969
  28  31.00   5.75  999.975  0.000075  1.538969
  29  33.00   5.63  999.978  0.000075  1.538969
  30  35.00   5.53  999.981  0.000075  1.538969
  31  37.00   5.46  999.982  0.000075  1.538969
  32  39.00   5.39  999.984  0.000075  1.538969
  33  41.00   5.33  999.985  0.000075  1.538969
  34  43.00   5.28  999.986  0.000075  1.538969
  35  45.00   5.22  999.987  0.000075  1.538969
  36  47.00   5.18  999.988  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   1.539
 20   1.539
 21   1.539
 22   1.231
 23   1.056
 24   0.911
 25   0.824
 26   1.085
 27   1.490
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   6  12       164
  I     Z(I)  T2(I)     Density   N^2     AMK
  22  14.00  10.65  999.668  0.000266  0.892383
  23  17.00  10.30  999.701  0.000188  1.036473
  24  20.00   9.34  999.783  0.000346  0.797700
  25  23.00   7.35  999.912  0.000273  0.882497
  26  26.25   6.32  999.957  0.000093  1.403572
  27  29.00   5.95  999.969  0.000075  1.538969
  28  31.00   5.78  999.974  0.000075  1.538969
  29  33.00   5.65  999.978  0.000075  1.538969
  30  35.00   5.55  999.980  0.000075  1.538969
  31  37.00   5.47  999.982  0.000075  1.538969
  32  39.00   5.40  999.984  0.000075  1.538969
  33  41.00   5.34  999.985  0.000075  1.538969
  34  43.00   5.28  999.986  0.000075  1.538969
  35  45.00   5.23  999.987  0.000075  1.538969
  36  47.00   5.19  999.988  0.000075  1.538969
 I  HMK  
  2  23.246
  3  23.246
  4  23.246
  5  23.246
  6  23.246
  7  23.246
  8  23.246
  9  23.246
 10  23.246
 11  23.246
 12  23.246
 13  23.246
 14  23.246
 15  23.246
 16  23.246
 17  23.246
 18  23.246
 19  23.246
 20  23.246
 21  23.246
 22   1.719
 23   0.959
 24   0.902
 25   0.838
 26   1.084
 27   1.468
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   6  19       171
  I     Z(I)  T2(I)     Density   N^2     AMK
  17   4.12  14.37  999.221  0.000934  0.520187
  18   5.25  14.11  999.257  0.000441  0.718161
  19   7.00  13.43  999.350  0.000339  0.804117
  20   9.00  13.14  999.387  0.000174  1.072180
  21  11.25  12.84  999.425  0.000415  0.737268
  22  14.00  11.33  999.599  0.000480  0.693039
  23  17.00  10.24  999.706  0.000323  0.821470
  24  20.00   9.17  999.796  0.000304  0.842692
  25  23.00   7.72  999.892  0.000232  0.946383
  26  26.25   6.66  999.944  0.000114  1.285052
  27  29.00   6.18  999.962  0.000075  1.538969
  28  31.00   5.94  999.970  0.000075  1.538969
  29  33.00   5.77  999.975  0.000075  1.538969
  30  35.00   5.64  999.978  0.000075  1.538969
  31  37.00   5.54  999.981  0.000075  1.538969
  32  39.00   5.46  999.982  0.000075  1.538969
  33  41.00   5.39  999.984  0.000075  1.538969
  34  43.00   5.34  999.985  0.000075  1.538969
  35  45.00   5.28  999.986  0.000075  1.538969
  36  47.00   5.24  999.987  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   0.778
 18   0.603
 19   0.759
 20   0.919
 21   0.874
 22   0.714
 23   0.752
 24   0.832
 25   0.892
 26   1.090
 27   1.401
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   6  19       171
  I     Z(I)  T2(I)     Density   N^2     AMK
  12   1.56  16.08  998.957  0.000837  0.545496
  13   2.00  15.94  998.981  0.000519  0.669788
  14   2.50  15.78  999.007  0.000518  0.670506
  15   3.00  15.61  999.033  0.000530  0.663948
  16   3.50  15.43  999.061  0.000893  0.530488
  17   4.12  14.95  999.136  0.000963  0.513444
  18   5.25  14.28  999.233  0.000669  0.600650
  19   7.00  13.57  999.331  0.000392  0.755828
  20   9.00  13.18  999.382  0.000236  0.939359
  21  11.25  12.77  999.434  0.000414  0.737999
  22  14.00  11.38  999.593  0.000463  0.703663
  23  17.00  10.25  999.705  0.000333  0.811204
  24  20.00   9.16  999.797  0.000302  0.845079
  25  23.00   7.76  999.890  0.000228  0.953692
  26  26.25   6.71  999.942  0.000116  1.276446
  27  29.00   6.21  999.961  0.000075  1.538969
  28  31.00   5.97  999.969  0.000075  1.538969
  29  33.00   5.79  999.974  0.000075  1.538969
  30  35.00   5.65  999.978  0.000075  1.538969
  31  37.00   5.55  999.980  0.000075  1.538969
  32  39.00   5.47  999.982  0.000075  1.538969
  33  41.00   5.41  999.984  0.000075  1.538969
  34  43.00   5.35  999.985  0.000075  1.538969
  35  45.00   5.29  999.986  0.000075  1.538969
  36  47.00   5.25  999.987  0.000075  1.538969
 I  HMK  
  2   5.411
  3   5.411
  4   5.411
  5   5.411
  6   5.411
  7   5.411
  8   5.411
  9   5.411
 10   5.411
 11   5.411
 12   0.991
 13   0.601
 14   0.670
 15   0.667
 16   0.590
 17   0.522
 18   0.554
 19   0.669
 20   0.838
 21   0.827
 22   0.720
 23   0.754
 24   0.828
 25   0.896
 26   1.092
 27   1.395
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   7  14       196
  I     Z(I)  T2(I)     Density   N^2     AMK
  21  11.25  13.25  999.373  0.001916  0.381998
  22  14.00  11.87  999.541  0.000503  0.678767
  23  17.00  10.64  999.668  0.000373  0.771871
  24  20.00   9.51  999.769  0.000293  0.856850
  25  23.00   8.45  999.847  0.000209  0.990914
  26  26.25   7.55  999.902  0.000135  1.193614
  27  29.00   6.98  999.930  0.000085  1.454870
  28  31.00   6.68  999.943  0.000075  1.538969
  29  33.00   6.43  999.953  0.000075  1.538969
  30  35.00   6.22  999.961  0.000075  1.538969
  31  37.00   6.05  999.966  0.000075  1.538969
  32  39.00   5.91  999.970  0.000075  1.538969
  33  41.00   5.80  999.974  0.000075  1.538969
  34  43.00   5.70  999.976  0.000075  1.538969
  35  45.00   5.62  999.979  0.000075  1.538969
  36  47.00   5.55  999.980  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   1.539
 20   1.539
 21   0.612
 22   0.489
 23   0.722
 24   0.812
 25   0.919
 26   1.083
 27   1.311
 28   1.496
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   7  14       196
  I     Z(I)  T2(I)     Density   N^2     AMK
  17   4.12  18.66  998.499  0.000517  0.670927
  18   5.25  18.51  998.527  0.000217  0.975178
  19   7.00  18.33  998.562  0.000291  0.859676
  20   9.00  17.92  998.638  0.001764  0.395802
  21  11.25  13.61  999.326  0.001767  0.395545
  22  14.00  11.89  999.538  0.000582  0.637821
  23  17.00  10.66  999.666  0.000376  0.769750
  24  20.00   9.53  999.767  0.000293  0.856598
  25  23.00   8.48  999.846  0.000209  0.990328
  26  26.25   7.57  999.900  0.000136  1.190975
  27  29.00   7.01  999.929  0.000086  1.448457
  28  31.00   6.70  999.942  0.000075  1.538969
  29  33.00   6.45  999.952  0.000075  1.538969
  30  35.00   6.24  999.960  0.000075  1.538969
  31  37.00   6.07  999.965  0.000075  1.538969
  32  39.00   5.94  999.970  0.000075  1.538969
  33  41.00   5.82  999.973  0.000075  1.538969
  34  43.00   5.72  999.976  0.000075  1.538969
  35  45.00   5.63  999.978  0.000075  1.538969
  36  47.00   5.57  999.980  0.000075  1.538969
 I  HMK  
  2  11.032
  3  11.032
  4  11.032
  5  11.032
  6  11.032
  7  11.032
  8  11.032
  9  11.032
 10  11.032
 11  11.032
 12  11.032
 13  11.032
 14  11.032
 15  11.032
 16  11.032
 17   1.265
 18   0.795
 19   0.914
 20   0.542
 21   0.396
 22   0.488
 23   0.698
 24   0.811
 25   0.919
 26   1.081
 27   1.307
 28   1.492
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   7  24       206
  I     Z(I)  T2(I)     Density   N^2     AMK
  18   5.25  20.47  998.135  0.001473  0.427771
  19   7.00  18.98  998.438  0.001720  0.400120
  20   9.00  17.07  998.791  0.001783  0.394026
  21  11.25  14.45  999.209  0.001365  0.441907
  22  14.00  12.33  999.487  0.000747  0.572648
  23  17.00  10.86  999.647  0.000434  0.723581
  24  20.00   9.72  999.752  0.000300  0.847348
  25  23.00   8.70  999.831  0.000212  0.983759
  26  26.25   7.81  999.887  0.000143  1.167717
  27  29.00   7.24  999.918  0.000093  1.400324
  28  31.00   6.93  999.932  0.000075  1.538969
  29  33.00   6.68  999.943  0.000075  1.538969
  30  35.00   6.46  999.952  0.000075  1.538969
  31  37.00   6.29  999.958  0.000075  1.538969
  32  39.00   6.14  999.963  0.000075  1.538969
  33  41.00   6.01  999.967  0.000075  1.538969
  34  43.00   5.90  999.971  0.000075  1.538969
  35  45.00   5.80  999.974  0.000075  1.538969
  36  47.00   5.73  999.976  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   0.669
 19   0.413
 20   0.397
 21   0.417
 22   0.499
 23   0.639
 24   0.781
 25   0.910
 26   1.068
 27   1.273
 28   1.466
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   7  24       206
  I     Z(I)  T2(I)     Density   N^2     AMK
  19   7.00  19.01  998.430  0.001751  0.397103
  20   9.00  17.05  998.794  0.001785  0.393864
  21  11.25  14.49  999.202  0.001348  0.444296
  22  14.00  12.38  999.481  0.000754  0.570532
  23  17.00  10.89  999.644  0.000440  0.718905
  24  20.00   9.74  999.750  0.000302  0.845057
  25  23.00   8.72  999.829  0.000213  0.982615
  26  26.25   7.84  999.886  0.000143  1.165612
  27  29.00   7.27  999.916  0.000094  1.396280
  28  31.00   6.96  999.931  0.000075  1.538969
  29  33.00   6.70  999.942  0.000075  1.538969
  30  35.00   6.49  999.951  0.000075  1.538969
  31  37.00   6.31  999.957  0.000075  1.538969
  32  39.00   6.16  999.962  0.000075  1.538969
  33  41.00   6.04  999.967  0.000075  1.538969
  34  43.00   5.92  999.970  0.000075  1.538969
  35  45.00   5.83  999.973  0.000075  1.538969
  36  47.00   5.75  999.975  0.000075  1.538969
 I  HMK  
  2  13.224
  3  13.224
  4  13.224
  5  13.224
  6  13.224
  7  13.224
  8  13.224
  9  13.224
 10  13.224
 11  13.224
 12  13.224
 13  13.224
 14  13.224
 15  13.224
 16  13.224
 17  13.224
 18  13.224
 19   0.771
 20   0.395
 21   0.418
 22   0.500
 23   0.636
 24   0.777
 25   0.909
 26   1.066
 27   1.271
 28   1.464
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   8   7       220
  I     Z(I)  T2(I)     Density   N^2     AMK
  19   7.00  20.60  998.105  0.002819  0.323557
  20   9.00  17.69  998.681  0.002337  0.350757
  21  11.25  15.07  999.116  0.001429  0.433349
  22  14.00  12.97  999.408  0.000827  0.548126
  23  17.00  11.31  999.601  0.000513  0.673242
  24  20.00  10.06  999.722  0.000336  0.807466
  25  23.00   9.03  999.806  0.000227  0.956081
  26  26.25   8.16  999.867  0.000153  1.131350
  27  29.00   7.58  999.900  0.000103  1.342033
  28  31.00   7.27  999.916  0.000075  1.538969
  29  33.00   7.01  999.929  0.000075  1.538969
  30  35.00   6.80  999.938  0.000075  1.538969
  31  37.00   6.62  999.946  0.000075  1.538969
  32  39.00   6.46  999.952  0.000075  1.538969
  33  41.00   6.33  999.957  0.000075  1.538969
  34  43.00   6.21  999.961  0.000075  1.538969
  35  45.00   6.10  999.965  0.000075  1.538969
  36  47.00   6.01  999.967  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   0.535
 20   0.337
 21   0.388
 22   0.484
 23   0.604
 24   0.734
 25   0.876
 26   1.036
 27   1.228
 28   1.434
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   8   7       220
  I     Z(I)  T2(I)     Density   N^2     AMK
  19   7.00  20.76  998.072  0.002679  0.330730
  20   9.00  17.76  998.668  0.002398  0.346892
  21  11.25  15.12  999.109  0.001443  0.431485
  22  14.00  13.02  999.403  0.000834  0.546324
  23  17.00  11.35  999.597  0.000518  0.670666
  24  20.00  10.09  999.720  0.000339  0.804595
  25  23.00   9.06  999.805  0.000228  0.953316
  26  26.25   8.18  999.865  0.000154  1.128512
  27  29.00   7.60  999.899  0.000104  1.338520
  28  31.00   7.29  999.915  0.000075  1.538969
  29  33.00   7.04  999.927  0.000075  1.538969
  30  35.00   6.82  999.937  0.000075  1.538969
  31  37.00   6.64  999.945  0.000075  1.538969
  32  39.00   6.49  999.951  0.000075  1.538969
  33  41.00   6.35  999.956  0.000075  1.538969
  34  43.00   6.23  999.960  0.000075  1.538969
  35  45.00   6.12  999.964  0.000075  1.538969
  36  47.00   6.03  999.967  0.000075  1.538969
 I  HMK  
  2  11.432
  3  11.432
  4  11.432
  5  11.432
  6  11.432
  7  11.432
  8  11.432
  9  11.432
 10  11.432
 11  11.432
 12  11.432
 13  11.432
 14  11.432
 15  11.432
 16  11.432
 17  11.432
 18  11.432
 19   0.643
 20   0.339
 21   0.385
 22   0.482
 23   0.602
 24   0.732
 25   0.873
 26   1.034
 27   1.225
 28   1.432
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   9  23       267
  I     Z(I)  T2(I)     Density   N^2     AMK
  22  14.00  14.89  999.144  0.000794  0.557989
  23  17.00  12.96  999.410  0.000725  0.580297
  24  20.00  11.44  999.587  0.000485  0.689416
  25  23.00  10.24  999.706  0.000316  0.828676
  26  26.25   9.26  999.789  0.000210  0.987815
  27  29.00   8.63  999.835  0.000142  1.171038
  28  31.00   8.30  999.857  0.000093  1.400291
  29  33.00   8.05  999.873  0.000075  1.538969
  30  35.00   7.84  999.886  0.000075  1.538969
  31  37.00   7.66  999.896  0.000075  1.538969
  32  39.00   7.51  999.904  0.000075  1.538969
  33  41.00   7.37  999.911  0.000075  1.538969
  34  43.00   7.24  999.918  0.000075  1.538969
  35  45.00   7.12  999.923  0.000075  1.538969
  36  47.00   7.03  999.928  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   1.539
 20   1.539
 21   1.539
 22   0.819
 23   0.569
 24   0.630
 25   0.753
 26   0.901
 27   1.072
 28   1.275
 29   1.466
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   9  23       267
  I     Z(I)  T2(I)     Density   N^2     AMK
  22  14.00  14.91  999.141  0.000807  0.553972
  23  17.00  13.00  999.405  0.000724  0.580571
  24  20.00  11.47  999.584  0.000489  0.687171
  25  23.00  10.27  999.704  0.000319  0.825992
  26  26.25   9.29  999.787  0.000212  0.984606
  27  29.00   8.66  999.833  0.000143  1.167024
  28  31.00   8.32  999.856  0.000094  1.396448
  29  33.00   8.07  999.872  0.000075  1.538969
  30  35.00   7.86  999.884  0.000075  1.538969
  31  37.00   7.68  999.894  0.000075  1.538969
  32  39.00   7.53  999.903  0.000075  1.538969
  33  41.00   7.39  999.910  0.000075  1.538969
  34  43.00   7.26  999.917  0.000075  1.538969
  35  45.00   7.14  999.922  0.000075  1.538969
  36  47.00   7.05  999.927  0.000075  1.538969
 I  HMK  
  2  20.045
  3  20.045
  4  20.045
  5  20.045
  6  20.045
  7  20.045
  8  20.045
  9  20.045
 10  20.045
 11  20.045
 12  20.045
 13  20.045
 14  20.045
 15  20.045
 16  20.045
 17  20.045
 18  20.045
 19  20.045
 20  20.045
 21  20.045
 22   1.078
 23   0.567
 24   0.629
 25   0.750
 26   0.898
 27   1.068
 28   1.271
 29   1.464
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008  10   6       280
  I     Z(I)  T2(I)     Density   N^2     AMK
  23  17.00  13.32  999.365  0.000379  0.766442
  24  20.00  11.88  999.539  0.000504  0.678422
  25  23.00  10.60  999.673  0.000352  0.791577
  26  26.25   9.58  999.764  0.000232  0.947207
  27  29.00   8.92  999.814  0.000155  1.125298
  28  31.00   8.58  999.839  0.000102  1.350330
  29  33.00   8.32  999.856  0.000075  1.538969
  30  35.00   8.11  999.869  0.000075  1.538969
  31  37.00   7.94  999.880  0.000075  1.538969
  32  39.00   7.78  999.889  0.000075  1.538969
  33  41.00   7.64  999.897  0.000075  1.538969
  34  43.00   7.52  999.904  0.000075  1.538969
  35  45.00   7.40  999.910  0.000075  1.538969
  36  47.00   7.30  999.915  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   1.539
 20   1.539
 21   1.539
 22   1.539
 23   1.023
 24   0.720
 25   0.731
 26   0.862
 27   1.029
 28   1.228
 29   1.438
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008  10   6       280
  I     Z(I)  T2(I)     Density   N^2     AMK
  24  20.00  11.91  999.536  0.000525  0.666576
  25  23.00  10.63  999.670  0.000354  0.789271
  26  26.25   9.60  999.762  0.000234  0.943894
  27  29.00   8.95  999.813  0.000156  1.121781
  28  31.00   8.60  999.837  0.000102  1.346076
  29  33.00   8.34  999.854  0.000075  1.538969
  30  35.00   8.14  999.868  0.000075  1.538969
  31  37.00   7.96  999.879  0.000075  1.538969
  32  39.00   7.80  999.888  0.000075  1.538969
  33  41.00   7.66  999.895  0.000075  1.538969
  34  43.00   7.54  999.902  0.000075  1.538969
  35  45.00   7.42  999.909  0.000075  1.538969
  36  47.00   7.32  999.914  0.000075  1.538969
 I  HMK  
  2  26.257
  3  26.257
  4  26.257
  5  26.257
  6  26.257
  7  26.257
  8  26.257
  9  26.257
 10  26.257
 11  26.257
 12  26.257
 13  26.257
 14  26.257
 15  26.257
 16  26.257
 17  26.257
 18  26.257
 19  26.257
 20  26.257
 21  26.257
 22  26.257
 23  26.257
 24   1.300
 25   0.723
 26   0.860
 27   1.025
 28   1.224
 29   1.436
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
